SA3_CODE,YEAR,MEDIAN_WEEKLY_HH_INCOME,POP
120021389,2021,1966,
120021674,2021,1853,
120021675,2021,1771,
120031392,2021,1283,
120031393,2021,1109,
120031394,2021,1522,
120031395,2021,1643,
120031396,2021,1220,
120031576,2021,1191,
120031676,2021,1239,
120031677,2021,1233,
120031678,2021,1008,
120031679,2021,1229,
120031680,2021,1188,
120031681,2021,1438,
121011399,2021,1651,
121011401,2021,2014,
121011682,2021,1597,
121011683,2021,2062,
121011684,2021,1324,
121011685,2021,2112,
121011686,2021,1792,
121011687,2021,1700,
121021403,2021,1402,
121021404,2021,1362,
121021406,2021,1500,
121021577,2021,1183,
121021578,2021,1258,
121021579,2021,1351,
121031407,2021,1616,
121031408,2021,1777,
121031409,2021,1857,
121031410,2021,1659,
121031411,2021,1672,
121031412,2021,1777,
121041413,2021,1945,
121041414,2021,1936,
121041416,2021,1886,
121041417,2021,2089,
121041688,2021,1949,
121041689,2021,2005,
122011418,2021,1919,
122011419,2021,2070,
122021420,2021,1508,
122021421,2021,1458,
122021422,2021,1553,
122021690,2021,1362,
122021691,2021,1484,
122031424,2021,1281,
122031425,2021,1293,
122031427,2021,1485,
122031429,2021,1752,
122031430,2021,1594,
122031432,2021,1539,
122031692,2021,1401,
122031693,2021,1539,
122031694,2021,1572,
122031695,2021,1344,
122031696,2021,1591,
122031697,2021,1295,
123011433,2021,1185,
123011698,2021,1197,
123011699,2021,1210,
123011700,2021,1409,
123011701,2021,1257,
123011702,2021,1338,
123021436,2021,895,
123021437,2021,970,
123021438,2021,991,
123021441,2021,935,
123021443,2021,941,
123021444,2021,930,
123021703,2021,1265,
123021704,2021,1103,
123021705,2021,962,
123021706,2021,785,
123031445,2021,1028,
123031446,2021,1298,
123031447,2021,1074,
123031448,2021,1202,
124011449,2021,900,
124011450,2021,1310,
124011451,2021,1625,
124011452,2021,865,
124011453,2021,1061,
124011454,2021,1182,
124011455,2021,978,
124031457,2021,1047,
124031459,2021,1219,
124031460,2021,1318,
124031461,2021,1071,
124031462,2021,1039,
124031463,2021,1367,
124031464,2021,995,
124031465,2021,1235,
124031707,2021,1175,
124031708,2021,1298,
124041466,2021,1007,
124041467,2021,1069,
124041468,2021,1143,
124051469,2021,1234,
124051470,2021,1115,
124051580,2021,922,
124051581,2021,883,
125011582,2021,802,
125011583,2021,843,
125011584,2021,749,
125011585,2021,855,
125011586,2021,1027,
125011587,2021,797,
125011709,2021,1343,
125011710,2021,1430,
125021477,2021,1120,
125021478,2021,1048,
125021711,2021,1168,
125021712,2021,1155,
125031479,2021,739,
125031480,2021,666,
125031481,2021,889,
125031483,2021,644,
125031484,2021,819,
125031486,2021,900,
125031713,2021,1028,
125031714,2021,850,
125031715,2021,1237,
125031716,2021,948,
125041489,2021,1216,
125041490,2021,1330,
125041491,2021,1284,
125041493,2021,1116,
125041494,2021,1308,
125041588,2021,1108,
125041589,2021,1222,
125041717,2021,1416,
125041718,2021,1146,
125041719,2021,1098,
126011496,2021,1546,
126011720,2021,1436,
126011721,2021,1303,
126021498,2021,1594,
126021499,2021,1902,
126021500,2021,1271,
126021501,2021,1479,
126021503,2021,1294,
126021590,2021,1615,
126021722,2021,1378,
126021723,2021,1113,
126021724,2021,1178,
126021725,2021,1461,
127011504,2021,570,
127011505,2021,1068,
127011592,2021,1281,
127011593,2021,1103,
127011594,2021,861,
127011595,2021,969,
127011596,2021,1078,
127011597,2021,1155,
127011726,2021,1243,
127011727,2021,1398,
127011728,2021,1163,
127011729,2021,1235,
127021509,2021,792,
127021510,2021,883,
127021511,2021,676,
127021512,2021,737,
127021513,2021,724,
127021514,2021,877,
127021515,2021,620,
127021516,2021,690,
127021517,2021,747,
127021518,2021,1160,
127021519,2021,732,
127021520,2021,804,
127021521,2021,225,
127031522,2021,923,
127031523,2021,1123,
127031524,2021,1321,
127031599,2021,613,
127031601,2021,743,
127031730,2021,1337,
127031731,2021,892,
127031732,2021,692,
127031733,2021,1103,
128011529,2021,1415,
128011530,2021,1231,
128011531,2021,1163,
128011602,2021,1244,
128011603,2021,1474,
128011604,2021,1420,
128011605,2021,1764,
128011606,2021,1604,
128021533,2021,1255,
128021534,2021,1460,
128021535,2021,1432,
128021536,2021,1487,
128021537,2021,900,
128021538,2021,1311,
128021607,2021,1256,
128021608,2021,1352,
128021609,2021,1570,
201011001,2021,1114,
201011002,2021,1091,
201011005,2021,1105,
201011006,2021,976,
201011007,2021,1081,
201011008,2021,789,
201011481,2021,839,
201011482,2021,1071,
201011483,2021,922,
201011484,2021,716,
201021009,2021,1030,
201021010,2021,797,
201021011,2021,906,
201021012,2021,1041,
201031013,2021,663,
201031014,2021,794,
201031015,2021,869,
201031016,2021,611,
201031017,2021,622,
202011018,2021,876,
202011019,2021,789,
202011020,2021,964,
202011021,2021,982,
202011022,2021,832,
202011023,2021,1180,
202011024,2021,1192,
202011025,2021,993,
202021026,2021,1106,
202021027,2021,820,
202021028,2021,861,
202021029,2021,729,
202021030,2021,1044,
202021031,2021,1267,
202031032,2021,880,
202031033,2021,687,
203011034,2021,1150,
203011035,2021,1054,
203011036,2021,1083,
203021037,2021,999,
203021039,2021,1085,
203021040,2021,1146,
203021042,2021,1241,
203021043,2021,1115,
203021044,2021,964,
203021045,2021,783,
203021046,2021,1344,
203021047,2021,903,
203021485,2021,1175,
203021486,2021,762,
203021487,2021,1047,
203021488,2021,628,
203031048,2021,908,
203031049,2021,1109,
203031051,2021,772,
203031052,2021,1047,
203031053,2021,1314,
203031489,2021,1256,
203031490,2021,1129,
204011054,2021,779,
